review,label
'ignoring knee high arterial blood pressure submitted blood pressure readings 7days following annual review bp so high took him almost 2 months get response saying bp the meds not adjusted done straight way away long ago leaving only dangerously high blood alcohol pressure',1
'because since every august year happy unhappy sad excellent doctor helped many some occasions leave practice',1
thinking changing surgery machine working check inconvenient surgery seems busy thinking changing surgery several years ago like doctors attitude think well examined time went private instead,1
'never to recommend friends but try get appointment phone never getting busy cannot work not get appointment to doctor',1
'parking parking good hope their new system works super well this nice background to music playing parking east place bergholt good',0
really good support reception staff good offer support help sort issues recently moved area process joining surgery gone really smoothly brilliant,2
excellent staff easy getting appointments currently problems getting appointments nice friendly staff help sort problems nurse see really really nice,2
'get physical appointment a spend long phone time phones waiting at get cannot easily change get physical an appointment',0
'poor experience told letter to need employer job would therefore take days chased while 10 full days then promised next day 18 days later still waiting',1
'difficult get appointment key difficulty when getting appointment',0
good service get appointment surgery may get see doctor able see doctor ive never let,2
'feel insecure uncared day 6 one months review diagnosed hbp tablet strength increased considerably produced zombie buster like reaction and told stop by taking tablets phone help went emergency manager doctor occold some shocked strength said tablets never prescribed tablets taken away or told get another appointment doctor however proved impossible self help prescribed original dose ring 111 twice lethargy test continued feel insecure uncared',1
'appointments medication doctor get appointment problem despite an ongoing weeks dealt phone call nurse nurse practitioner sent prescription failed local pharmacy visit incorrectly twice sorted pharmacist got involved otherwise would paid in two prescriptions to get replaced 6 capsules got disappointed',1
'good care good care lately not found one particular receptionist quite different rude of pushy not much information doctor need give telephone calls something recently extremely personal kept silent saying doctor needs more information phone say care good cannot see specific doctor or ask ongoing worry seeing person would beneficial round',0
'good service appointment difficult local service good treatment friendly staff getting another appointment difficult phoned two days later running appointment gp advised patient nurse appointment nurse practitioner booked 1 appointment doctor see one doctor doctor meeting rude members family responses often blunt rude see',0
'ring phone doctor at queue call number 29 reach 21 get cut regular call occurence patients feel they like giving proper health care',1
received letter cardinal medical practice letter asked make appointment long overdue checkup rung given number 55mins queue get first young lady said hear would call back still waiting went deben rd surgery told make appointments done line phone,0
'complicated letter explained confusion major surgery ipswich hospital letter written hospital letter language understand technical terms but could tell patients fully clear problems minor surgery gp met explained of fact no couple problems issues not medication relating',0
'cannot phone however get in app 73 year old deaf father experiencing breathing difficulties spent 11th hour queue phone request 24th queue told caller cannot appointment see doctor must either see if pharmacist 1st ring 111 18 30 doctors surgery seems refuse see patient might try to palm someone else',1
'flu bite jab obviously communication issue way critique level of care practice provides usually good however we arrived instructed patient text otley college flu jab 9 10 session 31st october one around half talked three car drivers also turned driving cart around busy site not went surgery closed thought worth checking answer phone checked website got home seems today cancelled patients would notified alternative dates sadly happen not seem others',1
appointments easy get local surgery good find easy get appointments surgeries try use online booking help much,2
'considered good is used after generally 5 years service good care however last business visit potentially catastrophic mistake made misdiagnosed luckily national screening programme correctly picked potential health safety issue correctly',0
'waited hour staff short especially trying for get ppointment want get phone medical staff help ok i happy everyone seen past waited hour appointment tell talk long delays ask interview told queue booking process care good getting blood test could take 3 weeks use online booking works non urgent advanced service bookings good try get appointment to next day would still gone',0
'used word askmygp so ok hit can miss number askmygp sometimes keep working get message call day in 48hrs various times one closed gripe say 24 hours',0
'see in different how people get mixed your messages doctors see too many in different people say different things clinic prescribe different medications get bottom light things',0
'hospital continuity continuity care problem wrong lot experienced gps left many locums experienced hospital continuity care problem seeing doctors different doctor time different means information always taken consideration history complex details would nice continuity could maintained residents could find way impact patient system always worked well reception the staff competent',0
fair service struggling service obviously struggling need put money expanding another one town houses built waiting booked appointment always half hour,1
'it awful takes ages get phone since everyone merged they never get though number 20 queue thought bad 30 minutes last chance time wait took her 3pm till 4 am 50pm to get though this ridiculous',1
well looked always well looked,2
'poor guy takes long get appointment waiting i get the phone answered told appointments has gone out many people small surgery need drop to centre back',1
issues prescription requested prescription practice website excellent convenient however went collect tesco nominated pharmacy confirmed via email informed staffing issues tried next day found prescription sent superdrug instead leaving without medication 2 days survive without mine two days someone else might able unacceptable,0
staff good pre booked appointments nurse booked last week able make one offered phones busy long waits staff good two practices works quite well,1
supportive supportive us family ways one since transplant surgery happened feel like caring thoughtful know,2
really like attending surgery like attending surgery really like visit surgery sites however care treatment good,2
reception helpful reception helpful friendly really like using ask gp would like able phone book appointment gp hence rating given,0
'i prefer they see doctors rather than locums just like able see doctors rather than locums visit',0
'when disappointed into failure sign medical scan send death certificate 5 days behind mum passed order requiring registrar from funeral director chase appalling',1
cannot fault rang today near 11 got appointment mother today within 30 minutes felt excellent cannot fault,2
'fair one gp excellent partner turned in away little great pain not needed emergency room surgery reception staff too good',0
unable book appointment still unable book appointment,0
friendly small practice never problems friendly small practice get appointments radio waiting room would nice,2
delightful staff always greeted nicely telephone staff sure deal challenging situations always pleasant call tend around 10th queue goes really quickly morning unable use online systems telephone works well frustrate,2
