Service,Title,Date,Score,Body
Alexandra,4 weeks to get appointment,7/10/2018,4,"Trying to get an appointment is very difficult and can take up to 4 weeks. On the day (at 8am) I can be ringing for 1/2 an hour and once through there are no appointments left. However, once you do see the GP/Nurse, they are very lovely and so I cannot fault them."
Alexandra,40 mins behind today,4/3/2020,3,"If you are late you lose your appointment, but sitting here 40 mins after the appointment time is far too long without anyone telling you anything. There is no information on the check-in screen to say they are behind, but if you knew you would not think you’d been forgotten. It’s atrocious being treated like this.
If I hadn’t taken this appointment it would be another 2 weeks before they could get me in."
Alexandra,Absolutely appalling,11/20/2020,2,"Had about a short phone call with a doctor who simply didn't listen too my needs telling her I cannot take paracetamol as doesnt even touch my pain, for her to then tell me to take paracetamol 4 times a day. Doctors don't look back through notes. What a absolute joke!"
Alexandra,access to GP,8/24/2021,3,"Access to a GP here is near on impossible. You get someone non-medical telling you whats what and deciding your eligible or not for a call back in days, not that day. So an appointment from when you originally called is ages away."
Alexandra,Amazing,3/31/2023,5,My little girl has chicken pox but it’s in her eye. I was called and referred to hospital within 2 hours. I know Rhine’s are hard but I’d like to thank you. The future could have left her with sight problems left untreated. Thank you
Alexandra,Appointment system is rubbish,1/24/2019,1,I have recently tried to book an appointment for a non emergency knowing how busy the surgery is I phoned up from work with my rota in front of me for the next few weeks. I was more than happy to wait a couple of weeks if needed. To be told that appointments can only be booked on the day. Now this is no use to me when I work 6 days a week an hour away from the surgery. I don't understand how this new system helps working people get an appointment to see a doctor. To state I can get a appointment anytime of day if you phone is also rubbish. It takes ages for them to answer the phone and then to be told they have no appointments left I wasn't best pleased. You offer a service and you are failing to meet this.
Alexandra,Appointments can be tricky to get,7/3/2019,4,"Today I'm here for a medication review, and they contacted me via text which was good, as I would not have known when the review should be.
To get an 'on the day' appointment can be very difficult, calling in the morning and afternoon, the line is engaged and then when you eventually get through all the appointments are gone."
Alexandra,Awful,10/14/2019,1,82 year old mother tried to phone get an appointment today by the time she got through all appointments gone told to go to surgery at 8 am on Friday dreadful.
Alexandra,Bad attitude,9/23/2022,3,"My medication was delayed and I was with my support worker talking to reception trying to resolve this. I stated that I had a lot going on and their response was 'don't we all!' This has happened twice now and I end up without my medication for a week which in turn affects my mental health, which goes downhill. People need to understand the impact of these delays and they need to show some empathy rather than this kind of attitude."
Alexandra,Bad service,7/8/2021,1,"Waiting on a signed form for nearly a month now.  They tried booking my mum in for a blood test when she just had one a week ago.  Review over the phone it rang 3 times and hung up, no time to get my phone out of my bag."
Alexandra,Brilliant service,3/20/2019,5,"didn't have to wait long, nurse very helpful"
